n_above_p97_5,n_above_p99_9,sd_of_S,median_gap,r_squared,leaveout_r_squared
2,0,1.1102320747019605,38.363665145615,0.5795947286610282,0.5676394475169273
3,0,1.1775214527698021,41.03469066293602,0.5888704944720718,0.5950190356163886
4,0,1.321816891644227,39.29691474151977,0.5705765390089907,0.5458282298451244
2,0,1.2472692016383677,40.287310583592784,0.5838092446800054,0.5796312035285727
3,0,1.2796966757446966,39.01424207846353,0.5794882899231109,0.5681797278079292
4,1,1.2812248072684111,39.823450038287376,0.5759968956483669,0.5528494152687868
4,0,1.3088114059013796,40.742224423173724,0.5854890492912888,0.5770649313266515
0,0,1.125859355349308,39.009351187991705,0.5941148724486426,0.5937681088659208
1,0,1.1447646880531952,38.50342608251145,0.5825773999640687,0.5669087294649581
1,0,1.1805152079075965,39.57228704407524,0.5861316620217443,0.5777529449651012
3,0,1.1580955109836686,39.37332138287255,0.5915943797238792,0.5911755072353857
3,0,1.2842150283276363,40.15573637349925,0.5927494424483033,0.5955514776027409
0,0,1.1684190312085223,39.73156195317586,0.583415175226065,0.5696646815995865
2,0,1.2460289619683538,38.965022958843996,0.5992060021761245,0.6101565905143431
3,0,1.1266139501945955,38.58403998120448,0.5823966466905983,0.5778570928926343
1,0,1.2019379838160886,40.21178415169786,0.5947197954178638,0.6055469418972275
1,0,1.1926455457365057,40.430175190179995,0.5976099748953663,0.602349078367233
4,0,1.362080591255748,39.524834285816745,0.592296139865917,0.5906649870973704
1,0,1.2810697088349396,38.19349237083508,0.5860410011667069,0.5788243519536673
2,0,1.0293195746936556,38.67212763726484,0.5789298946324217,0.576187597524705
0,0,1.238503102811356,40.23965150485438,0.5759402551983803,0.5666280115256709
0,0,1.1484724736957803,39.90059533814034,0.5916555253602713,0.5956311571790343
2,0,1.2344291017161957,39.67693601185489,0.5880832386863316,0.5838561932574726
2,1,1.1674889639174284,40.619794210056746,0.5949715352466864,0.5972623518826428
4,1,1.3277913947860722,40.98161587352378,0.5764904198009193,0.5673604764995362
3,0,1.2213963057700383,39.86701782104588,0.5768181538775083,0.5688917866537502
0,0,1.1335842241674758,39.53771845927162,0.596127308623178,0.5924230902175279
1,0,1.2122507847587805,40.07576019778454,0.5919191459104585,0.5879676183764193
2,0,1.1993644376772028,39.799756388347404,0.6075290733474488,0.6235058851383508
1,0,1.1606916493210482,39.225304921036944,0.5958597742843377,0.5948863773160166
6,0,1.30142020862541,39.84017828537616,0.5724414161549323,0.5514705161879194
2,0,1.2272471417050976,40.08061948098316,0.5804634799347035,0.5726755271380357
2,0,1.3383633573460867,40.27884785815221,0.584542899475989,0.5862772622701147
2,0,1.183280183850793,40.359797152603015,0.596740236340066,0.5952179475928818
1,0,1.143595328434231,38.86728280966789,0.5976291273412618,0.6030751695084652
2,0,1.2683218522009565,39.45632180575589,0.5786500584721226,0.5725520588044513
3,0,1.3379811357741866,39.10161381952314,0.5880118655369986,0.5874985593361124
0,0,1.1519880909219407,40.63220510260949,0.5885588800061672,0.5885343592340214
