moving_unscreened_5,moving_unscreened_10,moving_unscreened_21,moving_screened_5,moving_screened_10,moving_screened_21,circular_unscreened_5,circular_unscreened_10,circular_unscreened_21,circular_screened_5,circular_screened_10,circular_screened_21,stationary_unscreened_5,stationary_unscreened_10,stationary_unscreened_21,stationary_screened_5,stationary_screened_10,stationary_screened_21
4.2998292338301765,3.9633354953802886,2.917425003959993,5.426181332629632,4.596356551554312,3.6479783829716457,3.016542726725,3.0914405357049226,2.717341547293475,3.9349131976996214,4.15164155380068,2.7989181255493967,4.2082836400434935,5.1208613898687965,2.1040562955226134,4.9537890208906,5.242676728782724,2.561941650143514
2.957323340953426,2.882809698764803,3.7169669829658862,3.1473551938851934,3.3603093174635847,4.067971109854744,4.653540979545288,5.185479225606894,2.5698186905022933,4.8771561603454705,6.106653823384761,3.4865192333419843,1.555026875381147,7.5207585075608625,5.237360576723954,2.0135280005585083,7.596609747631034,6.121553926908381
1.753314941343691,3.851235002253656,2.0426666208097917,2.41808080269486,4.6122079862620105,2.4992526271445343,2.855492902818622,2.1685043824864927,2.8169532611950268,3.308515876281804,3.0868776698870857,3.3388737287452086,4.0438265838864735,3.6949983397378876,6.128892064500806,4.086614688533531,3.6097878927187472,6.784803788251864
4.70679911701952,3.36381341540045,2.974726440001094,5.38136203858423,3.281558612371312,3.541224414160438,6.835149677770136,3.4094964011657316,2.2326460081776407,8.09015897391415,3.431949271577452,2.4187182741303954,5.043945431106272,7.4343632713130825,2.598304757810374,6.079272955523639,7.626044932594305,3.209585579503108
2.7156366001346197,3.995968398473802,1.8434739803240332,3.714143279895023,4.205750206816625,2.5837915896357164,2.863579685482141,3.7738349293513314,2.009188355495647,3.4059283854590534,3.932300636451727,2.12977077915451,10.311139902723223,2.515316425563743,1.908690933930077,10.844833532485538,2.9740715979576793,2.678037792561176
5.064715473406835,4.208521174081272,1.8615774169053556,5.48144524699375,5.089104012948472,2.4654166232951633,5.541255552163743,4.750387825920805,1.8176117424136167,6.014730037168185,5.387997671626526,3.2978734789186452,2.6788331496408757,2.8619887915429727,2.885677087688556,2.967532485627498,3.401371164832096,3.882590348579863
5.37558939603147,1.5477662496689568,2.8038781220233195,5.396869832999053,2.9213990290571026,3.5020359410786353,4.049446272877812,1.5626595497692712,5.248563881866586,5.249355607061785,2.593451226392843,5.605394560723009,1.776655703421108,1.877084546335296,2.9874231150881205,2.2006701051195883,2.6612195320926944,3.516695164509718
1.302485616554715,3.137167068067609,2.354048269429369,2.0241761502332523,3.8695388855037143,3.474231064760979,2.28838044176083,1.7602636611202065,2.057954924427691,2.5519590779135664,2.0292457058766713,2.6061725143225205,2.8751223691133565,2.8272818711273344,2.981119623739464,2.936517857414814,4.039713349029295,3.6760839872884055
6.870562092866116,1.3951836626710046,2.629473304511592,7.030739399084004,2.3650683201329237,3.4646165462752867,5.6776250762541896,1.7605200669965237,3.8327045699201974,5.960209023368956,1.9672574160124126,3.858947303861789,2.554225586209425,2.194260423674146,3.308197656241224,3.194244080594647,2.633680471399267,4.967661079294066
6.955768398809064,2.387683322744374,1.5752071656314286,7.554087408183749,3.1082161086705287,2.5767490396470647,8.879972467841695,2.899644676391204,3.800612582009274,10.418126667907194,3.6227541181162715,4.043115988897338,2.739342385861479,3.9757389044074998,3.4417592216390824,3.399422491456436,4.412468818155143,3.9809776303643325
